ENTRY; SUMMARY; ACCESS_COMPLEXITY; AUTHENTICATION; CONFIDENTIALITY; INTEGRITY; AVAILABILITY; EXPLOITABILITY; SCORE; PRODUCTS_AFFECTED; PRESENCE; IMPACT; CRITICALITY_FOR_HEALTH; CATEGORY; YEAR 
CVE-2014-0348;The Artiva Agency Single Sign-On (SSO) implementation in Artiva Workstation 1.3.x before 1.3.9, Artiva Rm 3.1 MR7, Artiva Healthcare 5.2 MR5, and Artiva Architect 3.2 MR5, when the domain-name option is enabled, allows remote attackers to login to arbitrary domain accounts by using the corresponding username on a Windows client machine.;MEDIUM;SINGLE;PARTIAL;NONE;NONE;6,8;3,5;4;,16667;,58333;NO;CWE-287;2014
CVE-2014-5406;The Hospira LifeCare PCA Infusion System before 7.0 does not validate network traffic associated with sending a (1) drug library, (2) software update, or (3) configuration change, which allows remote attackers to modify settings or medication data via packets on the (a) TELNET, (b) HTTP, (c) HTTPS, or (d) UPNP port.  NOTE: this issue might overlap CVE-2015-3459.;MEDIUM;NONE;COMPLETE;COMPLETE;COMPLETE;8,6;9,3;3;,12500;1,16250;YES;CWE-345;2014
CVE-2014-5431;Baxter SIGMA Spectrum Infusion System version 6.05 (model 35700BAX) with wireless battery module (WBM) version 16 contains a hard-coded password, which provides access to basic biomedical information, limited device settings, and network configuration of the WBM, if connected. The hard-coded password may allow an attacker with physical access to the device to access management functions to make unauthorized configuration changes to biomedical settings such as turn on and off wireless connections and the phase-complete audible alarm that indicates the end of an infusion phase. Baxter has released a new version of the SIGMA Spectrum Infusion System, version 8, which incorporates hardware and software changes.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;3,9;4,6;3;,12500;,57500;YES;CWE-798;2014
CVE-2014-5969;The healthylifestyle (aka com.alek.healthylifestyle) application 1.2.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;5,5;5,4;1;,04167;,22500;NO;CWE-310;2014
CVE-2014-6713;The MedQuiz: Medical Chat and MCQs (aka com.pdevsmedd.med) application 1.5 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;5,5;5,4;1;,04167;,22500;NO;CWE-310;2014
CVE-2014-6717;The iTriage Health (aka com.healthagen.iTriage) application 5.29 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;5,5;5,4;1;,04167;,22500;NO;CWE-310;2014
CVE-2014-6739;The Well-Being Connect Mobile (aka com.healthways.wellbeinggo) application 2.9 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;5,5;5,4;1;,04167;,22500;NO;CWE-310;2014
CVE-2014-7232;GE Healthcare Discovery XR656 and XR656 G2 has a password of (1) 2getin for the insite user, (2) 4$xray for the xruser user, and (3) #superxr for the root user, which has unspecified impact and attack vectors.  NOTE: it is not clear whether these passwords are default, hardcoded, or dependent on another system or product that requires a fixed value.;LOW;NONE;COMPLETE;COMPLETE;COMPLETE;10,0;10,0;2;,08333;,83333;YES;CWE-255;2014
CVE-2014-7233;GE Healthcare Precision THUNIS-800+ has a default password of (1) 1973 for the factory default System Utilities menu, (2) TH8740 for installation using TH8740_122_Setup.exe, (3) hrml for "Setup and Activation" using DSASetup, and (4) an empty string for Shutter Configuration, which has unspecified impact and attack vectors.  NOTE: since these passwords appear to be used to access functionality during installation, this issue might not cross privilege boundaries and might not be a vulnerability.;LOW;NONE;COMPLETE;COMPLETE;COMPLETE;10,0;10,0;1;,04167;,41667;YES;CWE-255;2014
CVE-2014-7335;The Liver Health - Hepatitis C (aka gov.nyc.dohmh.HepC) application 2.0.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;5,5;5,4;1;,04167;,22500;NO;CWE-310;2014
CVE-2014-7476;The Healthy Lunch Diet Recipes (aka com.best.lunchdietrecipes) application 3.6.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;5,5;5,4;1;,04167;,22500;NO;CWE-310;2014
CVE-2014-7562;The Health Advocate SmartHelp (aka com.healthadvocate.ui) application 3.6 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;5,5;5,4;1;,04167;,22500;NO;CWE-310;2014
CVE-2014-7646;The EMT-Paramedic Lite (aka com.wEMTparamedicLite) application 0.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;5,5;5,4;1;,04167;,22500;NO;CWE-310;2014
CVE-2014-7760;The Health assistance service (aka net.nttcloud.ft.karada) application 2.4.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;5,5;5,4;1;,04167;,22500;NO;CWE-310;2014
CVE-2014-8659;Directory traversal vulnerability in SAP Environment, Health, and Safety allows remote attackers to read arbitrary files via unspecified vectors.;LOW;NONE;PARTIAL;NONE;NONE;10,0;5,0;1;,04167;,20833;NO;CWE-22;2014
CVE-2014-8664;SQL injection vulnerability in Product Safety (EHS-SAF) component in SAP Environment, Health, and Safety Management allows remote attackers to execute arbitrary SQL commands via unspecified vectors.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;1;,04167;,31250;NO;CWE-89;2014
CVE-2014-9736;GE Healthcare Centricity Clinical Archive Audit Trail Repository has a default password of initinit for the (1) SSL key manager and (2) server keystore, (3) keystore_password for the server truststore, and atna for the (4) primary storage database and (5) archive storage database, which has unspecified impact and attack vectors.;LOW;NONE;COMPLETE;COMPLETE;COMPLETE;10,0;10,0;1;,04167;,41667;YES;CWE-255;2014


TOTAL PRODUCTS; 24
