ENTRY; SUMMARY; ACCESS_COMPLEXITY; AUTHENTICATION; CONFIDENTIALITY; INTEGRITY; AVAILABILITY; EXPLOITABILITY; SCORE; PRODUCTS_AFFECTED; PRESENCE; IMPACT; CRITICALITY_FOR_HEALTH 
CVE-2018-1000645;LibreHealthIO lh-ehr version <REL-2.0.0 contains an Authenticated Local File Disclosure vulnerability in Importing of templates allows local file disclosure that can result in Disclosure of sensitive files on the server. This attack appear to be exploitable via User controlled variable in import templates function.;LOW;SINGLE;PARTIAL;NONE;NONE;8.0;4,0;1;,02857;,11429;0
CVE-2018-1000646;LibreHealthIO LH-EHR version REL-2.0.0 contains an Authenticated Unrestricted File Write vulnerability in Import template that can result in write files with malicious content and may lead to remote code execution.;LOW;SINGLE;PARTIAL;PARTIAL;PARTIAL;8.0;6,5;1;,02857;,18571;0
CVE-2018-1000647;LibreHealthIO lh-ehr version REL-2.0.0 contains a Authenticated Unrestricted File Deletion vulnerability in Import template that can result in Denial of service. This attack appear to be exploitable via User controlled parameter.;LOW;SINGLE;NONE;PARTIAL;PARTIAL;8.0;5,5;1;,02857;,15714;0
CVE-2018-1000648;LibreHealthIO lh-ehr version REL-2.0.0 contains a Authenticated Unrestricted File Write vulnerability in Patient file letter functions that can result in Write files with malicious content and may lead to remote code execution. This attack appear to be exploitable via User controlled parameters.;LOW;SINGLE;PARTIAL;PARTIAL;PARTIAL;8.0;6,5;1;,02857;,18571;0
CVE-2018-1000649;LibreHealthIO lh-ehr version REL-2.0.0 contains a Authenticated Unrestricted File Write in letter.php (2) vulnerability in Patient file letter functions that can result in Write files with malicious content and may lead to remote code execution. This attack appear to be exploitable via User controlled input.;LOW;SINGLE;PARTIAL;PARTIAL;PARTIAL;8.0;6,5;1;,02857;,18571;0
CVE-2018-1000650;LibreHealthIO lh-ehr version REL-2.0.0 contains a SQL Injection vulnerability in Show Groups Popup SQL query functions that can result in Ability to perform malicious database queries. This attack appear to be exploitable via User controlled parameters.;LOW;SINGLE;PARTIAL;PARTIAL;PARTIAL;8.0;6,5;1;,02857;,18571;0
CVE-2018-13610;The mintToken function of a smart contract implementation for MedicayunLink, an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.;LOW;NONE;NONE;PARTIAL;NONE;10.0;5,0;1;,02857;,14286;0
CVE-2018-14786;Becton, Dickinson and Company (BD) Alaris Plus medical syringe pumps (models Alaris GS, Alaris GH, Alaris CC, and Alaris TIVA) versions 2.3.6 and prior are affected by an improper authentication vulnerability where the software does not perform authentication for functionality that requires a provable user identity, where it may allow a remote attacker to gain unauthorized access to various Alaris Syringe pumps and impact the intended operation of the pump when it is connected to a terminal server via the serial port.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10.0;7,5;8;,22857;1,71429;1
CVE-2018-15152;Authentication bypass vulnerability in portal/account/register.php in versions of OpenEMR before 5.0.1.4 allows a remote attacker to access (1) portal/add_edit_event_user.php, (2) portal/find_appt_popup_user.php, (3) portal/get_allergies.php, (4) portal/get_amendments.php, (5) portal/get_lab_results.php, (6) portal/get_medications.php, (7) portal/get_patient_documents.php, (8) portal/get_problems.php, (9) portal/get_profile.php, (10) portal/portal_payment.php, (11) portal/messaging/messages.php, (12) portal/messaging/secure_chat.php, (13) portal/report/pat_ledger.php, (14) portal/report/portal_custom_report.php, or (15) portal/report/portal_patient_report.php without authenticating as a patient.;LOW;NONE;PARTIAL;PARTIAL;NONE;10.0;6,4;1;,02857;,18286;0
CVE-2018-17393;SQL Injection exists in HealthNode Hospital Management System 1.0 via the id parameter to dashboard/Patient/info.php or dashboard/Patient/patientdetails.php.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10.0;7,5;1;,02857;,21429;0
CVE-2018-18975;An issue was discovered in the Ascensia Contour NEXT ONE app for iOS before 2019-01-15. An attacker may proxy communications between the app and Ascensia backend servers because of a weak certificate-pinning implementation, leading to disclosure of medical information.;LOW;NONE;PARTIAL;NONE;NONE;10.0;5,0;1;,02857;,14286;0
CVE-2018-18976;An issue was discovered in the Ascensia Contour NEXT ONE application for iOS and Android before 2019-01-15. An attacker may retrieve encrypted medical information of any user of the Ascensia cloud platform by performing Direct Object References with a series of user ID values. (This information can be decrypted through a different vulnerability.);LOW;NONE;PARTIAL;NONE;NONE;10.0;5,0;2;,05714;,28571;0
CVE-2018-18977;An issue was discovered in the Ascensia Contour NEXT ONE application for Android before 2019-01-15. An attacker may reverse engineer the codebase to extract sensitive data that contributes to the disclosure of medical information of patients utilizing the Ascensia platform. This occurs because of weak obfuscation.;LOW;NONE;PARTIAL;NONE;NONE;10.0;5,0;1;,02857;,14286;0
CVE-2018-18978;An issue was discovered in the Ascensia Contour NEXT ONE application for Android before 2019-01-15. It has a statically coded encryption key. Extraction of the encryption key is necessary for deciphering communications between this application and the backend server. This, in combination with retrieving any user's encrypted data from the Ascensia cloud through another vulnerability, allows an attacker to obtain and modify any patient's medical information.;MEDIUM;NONE;PARTIAL;PARTIAL;NONE;8.6;5,8;1;,02857;,16571;0
CVE-2018-18979;An issue was discovered in the Ascensia Contour NEXT ONE application for Android before 2019-01-15. It has a statically coded initialization vector. Extraction of the initialization vector is necessary for deciphering communications between this application and the backend server. This, in combination with retrieving any user's encrypted data from the Ascensia cloud through another vulnerability, allows an attacker to obtain and modify any patient's medical information.;MEDIUM;NONE;PARTIAL;PARTIAL;NONE;8.6;5,8;1;,02857;,16571;0
CVE-2018-19001;Philips HealthSuite Health Android App, all versions. The software uses simple encryption that is not strong enough for the level of protection required.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;3.9;4,6;1;,02857;,13143;0
CVE-2018-2613;Vulnerability in the Oracle Argus Safety component of Oracle Health Sciences Applications (subcomponent: Login). Supported versions that are affected are 7.x, 8.0.x and 8.1. Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise Oracle Argus Safety. Successful attacks of this vulnerability can result in unauthorized access to critical data or complete access to all Oracle Argus Safety accessible data as well as unauthorized update, insert or delete access to some of Oracle Argus Safety accessible data. CVSS 3.0 Base Score 8.2 (Confidentiality and Integrity impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N).;LOW;NONE;PARTIAL;PARTIAL;NONE;10.0;6,4;8;,22857;1,46286;0
CVE-2018-2642;Vulnerability in the Oracle Argus Safety component of Oracle Health Sciences Applications (subcomponent: File Upload). Supported versions that are affected are 7.x and 8.0.x. Easily exploitable vulnerability allows low privileged attacker with network access via HTTP to compromise Oracle Argus Safety. Successful attacks require human interaction from a person other than the attacker and while the vulnerability is in Oracle Argus Safety, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Oracle Argus Safety accessible data as well as unauthorized read access to a subset of Oracle Argus Safety accessible data and unauthorized ability to cause a partial denial of service (partial DOS) of Oracle Argus Safety. CVSS 3.0 Base Score 6.5 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L).;MEDIUM;SINGLE;PARTIAL;PARTIAL;PARTIAL;6.8;6,0;7;,20000;1,20000;0
